"Title","Shelf","Date Added","Date Released","Image","Rating","Owned","Read","Wanted","Date Read","Series.1","Series.1.#","Series.2","Series.2.#","Series.3","Series.3.#","ISBN","On Loan","Sequence","Authors.1","Authors.2","Authors.3","Authors.4","Format","Publisher","Genre.1","Genre.2","Description","Characters.1","Characters.2","Characters.3","Color","_id_"
"Getting Real: The Smarter, Faster, Easier Way To Build A Successful Web","","2013-10-14","2009-11-18","","","1","1","0","2013-10-15","The Smarter, Faster, Easier Way To Build A Successful Web Application","0","","","","","9780578012810","","15","37signals, Jason Fried, David Heinemeier Hansson, Matthew Linderman","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Paperback","37signals","","","Getting Real details the business, design, programming, and marketing principles of 37signals. The book is packed with keep-it-simple insights, contrarian points of view, and unconventional approaches to software design. This is not a technical book or a design tutorial, it's a book of ideas. Anyone working on a web app - including entrepreneurs, designers, programmers, executives, or marketers - will find value and inspiration in this book. 37signals used the Getting Real process to launch five successful web-based applications (Basecamp, Campfire, Backpack, Writeboard, Ta-da List), and Ruby on Rails, an open-source web application framework, in just two years with no outside funding, no debt, and only 7 people (distributed across 7 time zones). Over 500,000 people around the world use these applications to get things done. Now you can find out how they did it and how you can do it too. It's not as hard as you think if you Get Real.","","","","","15"
"Helvetica","","2013-10-14","2005-04-30","http://g-ecx.images-amazon.com/images/G/01/gno/beacon/BeaconSprite-US-01._V401903535_.png","","1","1","0","2013-10-15","Homage To A Typeface","0","","","","","9783037780466","","2","Lars Muller","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Paperback","Lars Muller Publishers","Specimens","Pictorial works","Helvetica is a sans-serif typeface. It is simple and clean, and commonly seen in advertising, signage, and literature. The R has a curved leg, and the i and j have square dots. The Q has a straight angled tail, and the counterforms inside the O, Q, and C are oval. It is an all-purpose type design that can deliver practically any message clearly and efficiently. It is one of the most popular typefaces of all time. Helvetica: Homage to a Typeface presents 400 examples of Helvetica in action, selected from two diametrically opposed worlds. Superb applications by renowned designers are juxtaposed with an anonymous collection of ugly, ingenious, charming, and hair-raising samples of its use.","","","","","2"
"Information Arts","","2013-10-14","2003-03-04","http://ecx.images-amazon.com/images/I/51CX3ERMXJL._SL500_PIsitb-sticker-arrow-big,TopRight,35,-73_OU01_AA300_.jpg","","1","1","0","2013-10-15","Leonardo Book Series","0","","","","","9780262731584","","36","Stephen Wilson","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Paperback","MIT Press Ltd","","","A new breed of contemporary artist engages science and technology--not just to adopt the vocabulary and gizmos, but to explore and comment on the content, agendas, and possibilities. Indeed, proposes Stephen Wilson, the role of the artist is not only to interpret and to spread scientific knowledge, but to be an active partner in determining the direction of research. Years ago, C. P. Snow wrote about the 'two cultures' of science and the humanities; these developments may finally help to change the outlook of those who view science and technology as separate from the general culture.In this rich compendium, Wilson offers the first comprehensive survey of international artists who incorporate concepts and research from mathematics, the physical sciences, biology, kinetics, telecommunications, and experimental digital systems such as artificial intelligence and ubiquitous computing. In addition to visual documentation and statements by the artists, Wilson examines relevant art-theoretical writings and explores emerging scientific and technological research likely to be culturally significant in the future. He also provides lists of resources including organizations, publications, conferences, museums, research centers, and Web sites.","","","","","36"
"Junkbots, Bugbots And Bots On Wheels","","2013-10-14","2002-10-01","http://bookshop.blackwell.co.uk/images/jackets/m/00/0072226013.jpg","","1","1","0","2013-10-15","Consumer","0","","","","","9780072226010","","40","Mark W. Tilden David Hrynkiw","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Paperback","McGraw-Hill Education - Europe","","","Want to try building a robot but you're afraid it's too complicated? BEAM robots are cheap, simple, and can be built by beginners in just a few hours. The ten basic projects contained in this book will help beginning level readers to get started in robot building, and includes detailed information about the basics of electronics and construction skills.","","","","","40"
"Le Langage Cnorme Ansi","","2013-10-14","2004-01-01","http://ecx.images-amazon.com/images/I/41XWZHWCBCL._SY300_.jpg","","1","1","0","2013-10-15","","","","","","","9782100487349","","9","Brian W. Kernighan","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Genre","Dunod","","","Les solutions des 250 exercices proposÃ©s par B. Kernighan et D. Ritchie sont fournies en dÃ©tail dans l'ouvrage complÃ©mentaire de C. Tondo et S. Gimpel paru aux Ã©ditions Dunod sous le titre Exercices corrigÃ©s sur le langage C.","","","","","9"
"Machine Learning For Hackers","","2013-10-14","2012-03-06","http://ecx.images-amazon.com/images/I/51Hhs3RX83L.jpg","","1","1","0","2013-10-15","","","","","","","9781449303716","","8","John Myles White Drew Conway","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Paperback","O'Reilly Media, Inc, USA","Electronic books","Periodicals","Now that storage and collection technologies are cheaper and more precise, methods for extracting relevant information from large datasets is within the reach any experienced programmer willing to crunch data. With this book, you'll learn machine learning and statistics tools in a practical fashion, using black-box solutions and case studies instead of a traditional math-heavy presentation. By exploring each problem in this book in depth - including both viable and hopeless approaches - you'll learn to recognize when your situation closely matches traditional problems. Then you'll discover how to apply classical statistics tools to your problem. Machine Learning for Hackers is ideal for programmers from private, public, and academic sectors.","","","","","8"
"Machine Learning In Action","","2013-10-14","2011-12-28","http://ecx.images-amazon.com/images/I/81m-%252BYP0RFL._SL1500_.jpg","","1","1","0","2013-10-15","","","","","","","9781617290183","","24","Peter Harrington","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Genre","Manning Publications","Handbooks, manuals, etc","","Provides information on the concepts of machine theory, covering such topics as statistical data processing, data visualization, and forecasting.","","","","","24"
"MÃƒÂ©thodes MathÃƒÂ©matiques Pour L'informatique","","2013-10-14","2005-01-01","http://bks4.books.google.com/books?id=PFw1tTlWrUwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_gdata","","1","1","0","2013-10-15","French Edition","0","","","","","9782100491490","","27","Unknown Author 502","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Genre","Dunod","Guides, manuels, etc","ProbleÌ€mes et exercices","IllustrÃ© de nombreux exemples, ce manuel aborde en profondeur les thÃ¨mes qui constituent la base Ã©lÃ©mentaire de connaissances mathÃ©matiques indispensable Ã  tout informaticien.","","","","","27"
"Natural Language Processing With Python","","2013-10-14","2009-07-07","http://ecx.images-amazon.com/images/I/81ay217k3jL._SL1500_.jpg","","1","1","0","2013-10-15","","","","","","","9780596516499","","31","Ewan Klein, Edward Loper Steven Bird","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Paperback","O'Reilly Media, Inc, USA","","","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation. With it, you'll learn how to write Python programs that work with large collections of unstructured text. You'll access richly annotated datasets using a comprehensive range of linguistic data structures, and you'll understand the main algorithms for analyzing the content and structure of written communication. Packed with examples and exercises, Natural Language Processing with Python will help you: * Extract information from unstructured text, either to guess the topic or identify 'named entities' * Analyze linguistic structure in text, including parsing and semantic analysis * Access popular linguistic databases, including WordNet and treebanks * Integrate techniques drawn from fields as diverse as linguistics and artificial intelligence This book will help you gain practical skills in natural language processing using the Python programming language and the Natural Language Toolkit (NLTK) open source library. If you're interested in developing web applications, analyzing multilingual news sources, or documenting endangered languages -- or if you're simply curious to have a programmer's perspective on how human language works -- you'll find Natural Language Processing with Python both fascinating and immensely useful.","","","","","31"
"Nature Of Code","","2013-10-14","2012-12-13","http://ecx.images-amazon.com/images/I/71xpkZVGJ4L._SL1360_.jpg","","1","1","0","2013-10-15","","","","","","","9780985930806","","33","Daniel Shiffman","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Genre","D. Shiffman","","","This book focuses on a range of programming strategies and techniques behind computer simulations of natural systems, from elementary concepts in mathematics and physics to more advanced algorithms that enable sophisticated visual results.","","","","","33"
"Outliers","","2013-10-14","2009-05-20","http://ecx.images-amazon.com/images/I/41h5QL0vVEL.jpg","","1","1","0","2013-10-15","The Story Of Success","0","","","","","9780316056281","","25","Malcolm Gladwell","","color:#000000'> Custom Search * The Google search will not be as accurate as the FictionDB Search","color:#000000'> browse books","Genre","Little, Brown","","","Identifies the qualities of successful people, maintaining that culture, family, and idiosyncratic factors can have a decisive impact on shaping high achievers,","","","","","25"
